film_id,film_rating
"1	","	7.7"
"2	","	6.9"
"3	","	6.5"
"4	","	6.1"
"5	","	5.7"
"6	","	7.7"
"7	","	6.2"
"8	","	5.4"
"9	","	5.5"
"10	","	6.6"
"11	","	6.5"
"12	","	5.7"
"13	","	7.1"
"14	","	7.1"
"15	","	5.7"
"16	","	7.8"
"17	","	7.2"
"18	","	6.5"
"19	","	6.1"
"20	","	5.4"
"21	","	6.4"
"22	","	6.5"
"23	","	6"
"24	","	6.3"
"25	","	7.1"
"26	","	7"
"27	","	6.6"
"28	","	7.4"
"29	","	6.4"
"30	","	7.4"
"31	","	6"
"32	","	6.4"
"33	","	7.3"
"34	","	3.5"
"35	","	6.1"
"36	","	6.9"
"37	","	6.7"
"38	","	6.9"
"39	","	6.6"
"40	","	6.3"
"41	",
"42	","	6.7"
"43	","	6.5"
"44	","	8.1"
"45	","	6.7"
"46	","	5.9"
"47	","	8.1"
"48	","	6.3"
"49	","	6.7"
"50	","	5.2"
"51	","	6.1"
"52	","	6.3"
"53	","	5.9"
"54	","	5.8"
"55	","	6.9"
"56	","	4.5"
"57	","	4.4"
"58	","	2.8"
"59	","	5.4"
"60	","	7"
"61	","	6.9"
"62	","	4.1"
"63	","	7"
"64	","	5.1"
"65	","	3.9"
"66	","	4.5"
"67	","	6.3"
"68	","	6.3"
"69	","	5.1"
"70	","	6"
"71	","	6.1"
"72	","	6.7"
"73	","	5.7"
"74	","	4.5"
"75	","	6.6"
"76	","	5.7"
"77	","	7.5"
"78	","	5.6"
"79	","	6.8"
"80	","	6"
"81	","	6.8"
"82	",
"83	","	5.3"
"84	","	6.5"
"85	","	7.3"
"86	","	6.5"
"87	","	7"
"88	","	0"
"89	","	7.7"
"90	","	8.1"
"91	","	5.8"
"92	","	7.5"
"93	","	7.3"
"94	","	6.9"
"95	","	5.4"
"96	","	5.1"
"97	","	5.2"
"98	","	7"
"99	","	5.4"
"100	","	6.3"
"101	","	4.4"
"102	","	0"
"103	","	7"
"104	","	5.6"
"105	","	5.1"
"106	","	0"
"107	","	5.6"
"108	","	6.5"
"109	","	3.8"
"110	","	7.2"
"111	","	0"
"112	","	5.9"
"113	","	6.7"
"114	","	7"
"115	","	6.3"
"116	","	6.5"
"117	","	5"
"118	","	7.2"
"119	","	6"
"120	","	6.5"
"121	","	7.3"
"122	","	6.5"
"123	","	6.4"
"124	","	5.2"
"125	","	6.4"
"126	","	6.8"
"127	","	5.9"
"128	","	6"
"129	","	6.8"
"130	","	5"
"131	","	7"
"132	",
"133	","	6.8"
"134	","	6.3"
"135	","	6.9"
"136	","	5.6"
"137	","	0"
"138	","	5.9"
"139	","	5.5"
"140	","	6.2"
"141	","	6.5"
"142	","	5.5"
"143	","	5.4"
"144	","	4"
"145	","	6.8"
"146	","	7.2"
"147	","	5.9"
"148	","	7"
"149	","	5.5"
"150	","	6.8"
"151	","	5.2"
"152	","	5.6"
"153	","	6.4"
"154	","	5.9"
"155	","	5.6"
"156	","	5.5"
"157	","	5.8"
"158	","	6.4"
"159	","	10"
"160	","	7.2"
"161	","	5.5"
"162	","	5.3"
"163	","	4.9"
"164	","	7.2"
"165	","	5.7"
"166	","	5.5"
"167	","	6.6"
"168	","	6.8"
"169	","	4.6"
"170	","	6.1"
"171	","	6.5"
"172	","	6.3"
"173	","	5.6"
"174	","	6.4"
"175	","	6"
"176	","	6.5"
"177	","	5.9"
"178	","	5.1"
"179	","	5.9"
"180	","	6"
"181	","	4.9"
"182	","	7.7"
"183	","	7.7"
"184	","	6.2"
"185	","	4.7"
"186	","	6.3"
"187	","	7.2"
"188	","	5.8"
"189	","	6.5"
"190	","	7.4"
"191	","	6.3"
"192	","	5.9"
"193	","	2.5"
"194	","	5.1"
"195	","	7.1"
"196	","	7.1"
"197	","	6.5"
"198	","	6.5"
"199	","	4.3"
"200	","	7.3"
"201	","	6.2"
"202	","	6.1"
"203	","	5.6"
"204	","	6.7"
"205	","	5"
"206	","	6.6"
"207	","	3"
"208	","	5"
"209	","	5.4"
"210	","	7.7"
"211	","	6.9"
"212	","	6"
"213	","	6.9"
"214	","	6"
"215	","	6"
"216	","	5.9"
"217	","	7.2"
"218	","	5.2"
"219	","	4.8"
"220	","	4.7"
"221	","	6"
"222	","	4.3"
"223	","	5.7"
"224	","	8.1"
"225	","	7"
"226	","	7.4"
"227	","	7.4"
"228	","	7.2"
"229	","	6.1"
"230	","	6.4"
"231	","	5.7"
"232	","	4.3"
"233	","	6.4"
"234	","	6.7"
"235	","	6.1"
"236	","	5.1"
"237	","	5.2"
"238	","	5.6"
"239	","	6.4"
"240	","	5.6"
"241	","	7"
"242	","	6.9"
"243	","	7"
"244	","	6.1"
"245	","	6.9"
"246	","	0"
"247	","	4"
"248	","	4.6"
"249	","	7.4"
"250	","	6.9"
"251	","	6.4"
"252	","	7.6"
"253	","	4.6"
"254	","	6.4"
"255	","	6.6"
"256	","	7"
"257	","	8.3"
"258	",
"259	","	6.4"
"260	","	7.1"
"261	","	7.4"
"262	","	6.2"
"263	","	5.3"
"264	","	5.1"
"265	","	4.7"
"266	","	5"
"267	","	6.5"
"268	","	6.1"
"269	","	5.5"
"270	","	6.8"
"271	","	6.3"
"272	","	8.5"
"273	","	7"
"274	","	6"
"275	","	6.7"
"276	","	6"
"277	","	5.7"
"278	","	5.5"
"279	","	6.7"
"280	","	6.4"
"281	","	5.4"
"282	","	5.8"
"283	","	5.6"
"284	","	6.8"
"285	","	6.1"
"286	","	5.6"
"287	","	6.6"
"288	","	7.5"
"289	","	5.4"
"290	","	6.5"
"291	","	6.3"
"292	","	5.5"
"293	","	6.9"
"294	","	5.3"
"295	","	6.4"
"296	","	7.2"
"297	","	6.2"
"298	","	7"
"299	",
"300	","	6.4"
"301	","	6.4"
"302	","	6.4"
"303	","	6.7"
"304	","	7.3"
"305	","	6.1"
"306	","	5"
"307	","	8.2"
"308	","	6.6"
"309	","	6.4"
"310	","	6.3"
"311	","	5.3"
"312	","	6.1"
"313	","	5.9"
"314	","	7.3"
"315	","	8"
"316	","	6"
"317	","	6.4"
"318	","	6.6"
"319	","	6.6"
"320	","	6.3"
"321	","	6.4"
"322	","	6.1"
"323	","	6.5"
"324	","	6.4"
"325	","	5.4"
"326	","	4.9"
"327	","	6.1"
"328	","	6.8"
"329	","	5.5"
"330	","	5.5"
"331	","	6.8"
"332	","	6"
"333	","	6"
"334	","	6.5"
"335	","	4.9"
"336	","	6.5"
"337	","	6.1"
"338	","	6"
"339	","	2"
"340	","	6.5"
"341	","	5.9"
"342	","	7.1"
"343	","	4.1"
"344	","	6.7"
"345	","	0"
"346	","	6.3"
"347	","	3.4"
"348	","	7.5"
"349	","	10"
"350	","	0"
"351	","	4"
"352	","	0"
"353	","	5"
"354	","	4"
"355	","	4.5"
"356	","	5"
"357	","	7.1"
"358	","	7.2"
"359	","	6.7"
"360	","	6.5"
"361	","	4.5"
"362	","	7"
"363	","	5.8"
"364	","	5.1"
"365	","	4.9"
"366	","	4.6"
"367	","	6.6"
"368	","	5"
"369	","	5"
"370	","	5.5"
"371	","	6.6"
